 Intel Core i5-12400 ,,4.40 GHz
Intel Celeron 420,"1,6GHz",
Intel Celeron 430,"1,8GHz",
Intel Celeron 440,2GHz,
Intel Celeron 450,2GHz,
Intel Celeron E1200,"1,6GHz",
Intel Celeron E1400,2GHz,
Intel Celeron E1500,2GHz,
Intel Celeron G1610,6GHz,
Intel Celeron G1610T,3GHz,
Intel Celeron G1620,7GHz,
"Intel Celeron G4""1","9GHz""",
Intel Celeron G460,"1,8GHz",
Intel Celeron G530,4GHz,
Intel Celeron G530T,2GHz,
Intel Celeron G540,5GHz,
Intel Celeron G540T,1GHz,
Intel Celeron G550,6GHz,
Intel Celeron G550T,2GHz,
Intel Celeron G555,7GHz,
Intel Core i5-4302Y,2.30 GHz,1.60 GHz
Intel Core i5-4308U,3.30 GHz,2.80 GHz
Intel Core i5-430M,2.53 GHz,
Intel Core i5-430M,2.53 GHz,2.26 GHz
Intel Core i5-430UM,1.73 GHz,
Intel Core i5-430UM,1.73 GHz,1.20 GHz
Intel Core i5-4310M,3.40 GHz,2.70 GHz
Intel Core i5-4310U,3.00 GHz,2.00 GHz
Intel Core i5-4330M,3.50 GHz,2.80 GHz
Intel Core i5-4340M,3.60 GHz,2.90 GHz
Intel Core i5-4350U,2.90 GHz,1.40 GHz
Intel Core i5-4360U,3.00 GHz,1.50 GHz
Intel Core i5-4400E,3.30 GHz,2.70 GHz
Intel Core i5-4402E,2.70 GHz,1.60 GHz
Intel Core i5-4402EC,2.50 GHz,2.50 GHz
Intel Core i5-4410E,2.90 GHz,2.90 GHz
Intel Core i5-4422E,2.90 GHz,1.80 GHz
Intel Core i5-4430,3.20 GHz,3.00 GHz
Intel Core i5-4430S,3.20 GHz,2.70 GHz
Intel Core i5-4440,3.30 GHz,3.10 GHz
Intel Core i5-4440S,3.30 GHz,2.80 GHz
Intel Core i5-4460,3.40 GHz,3.20 GHz
Intel Core i5-4460S,3.40 GHz,2.90 GHz
Intel Core i5-4460T,2.70 GHz,1.90 GHz
Intel Core i5-450M,2.66 GHz,
Intel Core i5-450M,2.66 GHz,2.40 GHz
Intel Core i5-4570,3.60 GHz,3.20 GHz
Intel Core i5-4570R,3.20 GHz,2.70 GHz
Intel Core i5-4570S,3.60 GHz,2.90 GHz
Intel Core i5-4570T,3.60 GHz,2.90 GHz
Intel Core i5-4570TE,3.30 GHz,2.70 GHz
Intel Core i5-4590,3.70 GHz,3.30 GHz
Intel Core i5-4590S,3.70 GHz,3.00 GHz
Intel Core i5-4590T,3.00 GHz,2.00 GHz
Intel Core i5-460M,2.80 GHz,
Intel Core i5-460M,2.80 GHz,2.53 GHz
Intel Core i5-4670,3.80 GHz,3.40 GHz
Intel Core i5-4670K,3.80 GHz,3.40 GHz
Intel Core i5-4670R,3.70 GHz,3.00 GHz
Intel Core i5-4670S,3.80 GHz,3.10 GHz
Intel Core i5-4670T,3.30 GHz,2.30 GHz
Intel Core i5-4690,3.90 GHz,3.50 GHz
Intel Core i5-4690K,3.90 GHz,3.50 GHz
Intel Core i5-4690S,3.90 GHz,3.20 GHz
Intel Core i5-4690T,3.50 GHz,2.50 GHz
Intel Core i5-470UM,1.86 GHz,
Intel Core i5-470UM,1.86 GHz,1.33 GHz
Intel Core i5-480M,2.93 GHz,
Intel Core i5-480M,2.93 GHz,2.66 GHz
Intel Core i5-5200U,2.70 GHz,2.20 GHz
Intel Core i5-520E,2.93 GHz,
Intel Core i5-520E,2.93 GHz,2.40 GHz
Intel Core i5-520M,2.93 GHz,
Intel Core i5-520M,2.93 GHz,2.40 GHz
Intel Core i5-520UM,1.87 GHz,
Intel Core i5-520UM,1.87 GHz,1.07 GHz
Intel Core i5-5250U,2.70 GHz,1.60 GHz
Intel Core i5-5257U,3.10 GHz,2.70 GHz
Intel Core i5-5287U,3.30 GHz,2.90 GHz
Intel Core i5-5300U,2.90 GHz,2.30 GHz
Intel Core i5-5350H,3.50 GHz,3.10 GHz
Intel Core i5-5350U,2.90 GHz,1.80 GHz
Intel Core i5-540M,3.07 GHz,
Intel Core i5-540M,3.07 GHz,2.53 GHz
Intel Core i5-540UM,2.00 GHz,
Intel Core i5-540UM,2.00 GHz,1.20 GHz
Intel Core i5-5575R,3.30 GHz,2.80 GHz
Intel Core i5-560M,3.20 GHz,
Intel Core i5-560M,3.20 GHz,2.66 GHz
Intel Core i5-560UM,2.13 GHz,
Intel Core i5-560UM,2.13 GHz,1.33 GHz
Intel Core i5-5675C,3.60 GHz,3.10 GHz
Intel Core i5-5675R,3.60 GHz,3.10 GHz
Intel Core i5-580M,3.33 GHz,
Intel Core i5-580M,3.33 GHz,2.66 GHz
Intel Core i5-6200U,2.80 GHz,2.30 GHz
Intel Core i5-6260U,2.90 GHz,1.80 GHz
Intel Core i5-6267U,3.30 GHz,2.90 GHz
Intel Core i5-6287U,3.50 GHz,3.10 GHz
Intel Core i5-6300HQ,3.20 GHz,2.30 GHz
Intel Core i5-6300U,3.00 GHz,2.40 GHz
Intel Core i5-6350HQ,3.20 GHz,2.30 GHz
Intel Core i5-6360U,3.10 GHz,2.00 GHz
Intel Core i5-6400,3.30 GHz,2.70 GHz
Intel Core i5-6400T,2.80 GHz,2.20 GHz
Intel Core i5-6402P,3.40 GHz,2.80 GHz
Intel Core i5-6440EQ,3.40 GHz,2.70 GHz
Intel Core i5-6440HQ,3.50 GHz,2.60 GHz
Intel Core i5-6442EQ,2.70 GHz,1.90 GHz
Intel Core i5-650,3.46 GHz,
Intel Core i5-650,3.46 GHz,3.20 GHz
Intel Core i5-6500,3.60 GHz,3.20 GHz
Intel Core i5-6500T,3.10 GHz,2.50 GHz
Intel Core i5-6500TE,3.30 GHz,2.30 GHz
Intel Core i5-655K,3.46 GHz,
Intel Core i5-655K,3.46 GHz,3.20 GHz
Intel Core i5-6585R,3.60 GHz,2.80 GHz
Intel Core i5-660,3.60 GHz,
Intel Core i5-660,3.60 GHz,3.33 GHz
Intel Core i5-6600,3.90 GHz,3.30 GHz
Intel Core i5-6600K,3.90 GHz,3.50 GHz
Intel Core i5-6600T,3.50 GHz,2.70 GHz
Intel Core i5-661,3.60 GHz,
Intel Core i5-661,3.60 GHz,3.33 GHz
Intel Core i5-6685R,3.80 GHz,3.20 GHz
Intel Core i5-670,3.73 GHz,
Intel Core i5-670,3.73 GHz,3.46 GHz
Intel Core i5-680,3.86 GHz,
Intel Core i5-680,3.86 GHz,3.60 GHz
Intel Core i5-7200U,3.10 GHz,2.50 GHz
Intel Core i5-7260U,3.40 GHz,2.20 GHz
Intel Core i5-7267U,3.50 GHz,3.10 GHz
Intel Core i5-7287U,3.70 GHz,3.30 GHz
Intel Core i5-7300HQ,3.50 GHz,2.50 GHz
Intel Core i5-7300U,3.50 GHz,2.60 GHz
Intel Core i5-7360U,3.60 GHz,2.30 GHz
Intel Core i5-7400,3.50 GHz,3.00 GHz
Intel Core i5-7400T,3.00 GHz,2.40 GHz
Intel Core i5-7440EQ ,3.60 GHz,2.90 GHz
Intel Core i5-7440HQ,3.80 GHz,2.80 GHz
Intel Core i5-7442EQ ,2.90 GHz,2.10 GHz
Intel Core i5-750,3.20 GHz,
Intel Core i5-750,3.20 GHz,2.66 GHz
Intel Core i5-7500,3.80 GHz,3.40 GHz
Intel Core i5-7500T,3.30 GHz,2.70 GHz
Intel Core i5-750S,3.20 GHz,
Intel Core i5-750S,3.20 GHz,2.40 GHz
Intel Core i5-760,3.33 GHz,
Intel Core i5-760,3.33 GHz,2.80 GHz
Intel Core i5-7600,4.10 GHz,3.50 GHz
Intel Core i5-7600K,4.20 GHz,3.80 GHz
Intel Core i5-7600T,3.70 GHz,2.80 GHz
Intel Core i5-7Y54,3.20 GHz,1.20 GHz
Intel Core i5-7Y57,3.30 GHz,1.20 GHz
Intel Core i5-8200Y,3.90 GHz,1.30 GHz
Intel Core i5-8210Y ,3.60 GHz,1.60 GHz
Intel Core i5-8250U,3.40 GHz,1.60 GHz
Intel Core i5-8257U,3.90 GHz,1.40 GHz
Intel Core i5-8259U,3.80 GHz,2.30 GHz
Intel Core i5-8260U ,3.90 GHz,1.60 GHz
Intel Core i5-8265U,3.90 GHz,1.60 GHz
Intel Core i5-8269U,4.20 GHz,2.60 GHz
Intel Core i5-8279U,4.10 GHz,2.40 GHz
Intel Core i5-8300H,4.00 GHz,2.30 GHz
Intel Core i5-8305G  with Radeon Pro WX Vega M GL graphics,3.80 GHz,2.80 GHz
Intel Core i5-8305G  with Radeon RX Vega M GL graphics,3.80 GHz,2.80 GHz
Intel Core i5-8310Y ,3.90 GHz,1.60 GHz
Intel Core i5-8350U,3.60 GHz,1.70 GHz
Intel Core i5-8365U,4.10 GHz,1.60 GHz
Intel Core i5-8365UE ,4.10 GHz,1.60 GHz
Intel Core i5-8400,4.00 GHz,2.80 GHz
Intel Core i5-8400,4.00 GHz,2.80 GHz
Intel Core i5-8400B,4.00 GHz,2.80 GHz
Intel Core i5-8400H,4.20 GHz,2.50 GHz
Intel Core i5-8400T,3.30 GHz,1.70 GHz
Intel Core i5-8500,4.10 GHz,3.00 GHz
Intel Core i5-8500,4.10 GHz,3.00 GHz
Intel Core i5-8500B,4.10 GHz,3.00 GHz
Intel Core i5-8500T,3.50 GHz,2.10 GHz
Intel Core i5-8600,4.30 GHz,3.10 GHz
Intel Core i5-8600K,4.30 GHz,3.60 GHz
Intel Core i5-8600T,3.70 GHz,2.30 GHz
Intel Core i5-9300H,4.10 GHz,2.40 GHz
Intel Core i5-9300HF,4.10 GHz,2.40 GHz
Intel Core i5-9400,4.10 GHz,2.90 GHz
Intel Core i5-9400F,4.10 GHz,2.90 GHz
Intel Core i5-9400H,4.30 GHz,2.50 GHz
Intel Core i5-9400T,3.40 GHz,1.80 GHz
Intel Core i5-9500,4.40 GHz,3.00 GHz
Intel Core i5-9500E ,4.20 GHz,3.00 GHz
Intel Core i5-9500F,4.40 GHz,3.00 GHz
Intel Core i5-9500T,3.70 GHz,2.20 GHz
Intel Core i5-9500TE,3.60 GHz,2.20 GHz
Intel Core i5-9600,4.60 GHz,3.10 GHz
Intel Core i5-9600K,4.60 GHz,3.70 GHz
Intel Core i5-9600KF,4.60 GHz,3.70 GHz
Intel Core i5-9600T,3.90 GHz,2.30 GHz
Intel Core i5-L16G7,3.00 GHz,
Intel Core i5-L16G7,3.00 GHz,1.40 GHz
Intel Core i7-2600,3.80 GHz,
Intel Core i7-2600K,3.80 GHz,
Intel Core i7-2600S,3.80 GHz,
Intel Core i7-2610UE,2.40 GHz,
Intel Core i7-2617M,2.60 GHz,
Intel Core i7-2620M,3.40 GHz,
Intel Core i7-2629M,3.00 GHz,
Intel Core i7-2630QM,2.90 GHz,
Intel Core i7-2635QM,2.90 GHz,
Intel Core i7-2637M,2.80 GHz,
